L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
2400482,159674,2190,7,17.00,29472.39,0.04,0.01,N,O,1998-07-01,1998-09-05,1998-07-22,COLLECT COD,MAIL,s cajole quickly. blithely unusual pack
2400483,39109,9110,1,15.00,15721.50,0.09,0.05,A,F,1994-05-23,1994-04-30,1994-05-24,TAKE BACK RETURN,TRUCK,kages. slyly pend
2400483,90571,572,2,45.00,70270.65,0.01,0.00,A,F,1994-02-28,1994-03-25,1994-03-19,NONE,RAIL,ld accounts impress. furio
2400483,21657,6662,3,21.00,33151.65,0.08,0.06,A,F,1994-05-17,1994-03-28,1994-05-18,NONE,FOB,eas wake slowly ideas. pinto be
2400483,184155,1710,4,13.00,16108.95,0.06,0.02,R,F,1994-05-08,1994-05-05,1994-05-11,NONE,REG AIR,"ven, regular deposits haggl"
2400484,105575,3106,1,34.00,53739.38,0.10,0.04,R,F,1993-01-08,1993-03-15,1993-01-29,DELIVER IN PERSON,FOB,s cajole carefully. blithe
2400484,189076,9077,2,29.00,33787.03,0.04,0.03,R,F,1993-03-18,1993-03-01,1993-04-16,TAKE BACK RETURN,AIR,"nding, pending packages. neve"
2400484,198127,647,3,35.00,42879.20,0.02,0.08,R,F,1993-04-21,1993-02-21,1993-05-07,NONE,RAIL,nic instructions. fluffily unusual
2400484,107292,7293,4,10.00,12992.90,0.09,0.08,R,F,1993-02-05,1993-03-10,1993-02-23,DELIVER IN PERSON,FOB,carefully bold a
2400484,42615,7624,5,28.00,43613.08,0.10,0.07,A,F,1992-12-23,1993-01-23,1993-01-07,COLLECT COD,REG AIR,longside of 
2400484,13976,8979,6,22.00,41579.34,0.03,0.02,R,F,1993-04-04,1993-01-26,1993-04-14,DELIVER IN PERSON,TRUCK,le after the bold excuses. foxes print fluf
2400484,93471,5981,7,9.00,13180.23,0.01,0.01,A,F,1993-04-16,1993-03-19,1993-05-09,NONE,TRUCK,ven packages about the furiously p
2400485,153178,724,1,35.00,43090.95,0.05,0.00,R,F,1994-07-19,1994-06-29,1994-08-01,TAKE BACK RETURN,MAIL,. quietly ironic requests detect furiously.
2400485,50282,2788,2,28.00,34503.84,0.06,0.05,A,F,1994-06-06,1994-06-06,1994-06-15,TAKE BACK RETURN,REG AIR,ffy warthogs wake furiousl
2400486,9976,2477,1,50.00,94298.50,0.10,0.07,N,O,1997-07-19,1997-06-10,1997-07-30,DELIVER IN PERSON,MAIL,", special foxes. blithely perm"
2400486,65383,5384,2,32.00,43148.16,0.00,0.00,N,O,1997-08-08,1997-07-30,1997-08-23,TAKE BACK RETURN,FOB,lphins cajole slyly. fluffily regular 
2400486,82376,7393,3,20.00,27167.40,0.10,0.02,N,O,1997-06-30,1997-06-11,1997-07-24,TAKE BACK RETURN,MAIL,ar requests cajole
2400487,67685,2698,1,7.00,11568.76,0.07,0.02,R,F,1993-05-01,1993-07-16,1993-05-03,TAKE BACK RETURN,MAIL, furiously pending accounts.
2400487,169710,9711,2,36.00,64069.56,0.02,0.02,R,F,1993-07-23,1993-05-28,1993-08-06,NONE,TRUCK, beans acro
2400487,101705,1706,3,42.00,71681.40,0.02,0.02,R,F,1993-08-23,1993-07-24,1993-08-29,NONE,REG AIR,onic frays affix slyly dep
2400487,149606,4635,4,9.00,14900.40,0.01,0.05,A,F,1993-05-29,1993-05-29,1993-06-09,TAKE BACK RETURN,FOB,lithely pend
2400487,22551,7556,5,46.00,67783.30,0.07,0.05,A,F,1993-05-19,1993-07-14,1993-06-05,COLLECT COD,MAIL,"ns haggle packages. unusual, "
2400487,2739,240,6,41.00,67310.93,0.06,0.03,R,F,1993-04-26,1993-07-03,1993-05-23,COLLECT COD,REG AIR,onic accoun
2400487,18211,8212,7,43.00,48556.03,0.06,0.04,R,F,1993-05-16,1993-07-15,1993-06-09,TAKE BACK RETURN,REG AIR,hely. pending accounts kindle quickly.
2400512,67124,4643,1,6.00,6546.72,0.02,0.04,N,O,1996-03-07,1996-03-04,1996-03-09,NONE,MAIL,he carefully ev
2400512,142496,2497,2,48.00,73847.52,0.03,0.05,N,O,1996-03-05,1996-04-02,1996-03-10,DELIVER IN PERSON,REG AIR,sual ideas. fur
2400513,109886,9887,1,11.00,20854.68,0.05,0.06,N,O,1998-09-13,1998-09-06,1998-09-30,NONE,RAIL,n theodolites. deposits
2400513,42116,9629,2,16.00,16929.76,0.01,0.04,N,O,1998-10-09,1998-09-17,1998-10-14,COLLECT COD,TRUCK,gle slyly alongside of t
2400513,27518,21,3,36.00,52038.36,0.10,0.08,N,O,1998-08-19,1998-08-31,1998-08-29,TAKE BACK RETURN,REG AIR, fluffily special pinto beans. slyly
2400514,47010,2019,1,35.00,33495.35,0.02,0.07,R,F,1992-12-26,1992-12-01,1993-01-10,DELIVER IN PERSON,MAIL,ts. fluffily unusual pac
2400514,96931,4459,2,38.00,73261.34,0.03,0.05,R,F,1992-09-18,1992-10-26,1992-10-08,DELIVER IN PERSON,RAIL,uses. pinto beans wake. 
2400514,108137,5668,3,24.00,27483.12,0.00,0.08,A,F,1992-12-27,1992-11-25,1993-01-05,COLLECT COD,RAIL,ges wake furio
2400514,47598,103,4,25.00,38639.75,0.10,0.04,R,F,1992-10-13,1992-11-19,1992-11-11,NONE,MAIL,carefully silent accounts. 
2400514,177753,5305,5,10.00,18307.50,0.04,0.01,A,F,1992-11-20,1992-12-02,1992-11-23,COLLECT COD,SHIP,ructions. eve
2400514,91819,4329,6,36.00,65189.16,0.07,0.02,R,F,1992-11-21,1992-11-29,1992-12-18,DELIVER IN PERSON,REG AIR,"ly. express, regular instruction"
2400515,3907,1408,1,22.00,39839.80,0.05,0.04,N,O,1997-06-11,1997-08-02,1997-07-11,COLLECT COD,SHIP,ully final accounts wake blith
2400515,60121,5134,2,15.00,16216.80,0.01,0.08,N,O,1997-08-18,1997-07-07,1997-09-11,DELIVER IN PERSON,AIR,ully unusual pinto b
2400515,37867,5377,3,23.00,41511.78,0.00,0.05,N,O,1997-05-27,1997-07-15,1997-06-22,COLLECT COD,REG AIR,ual ideas. furiously regular
2400515,20056,2559,4,40.00,39042.00,0.10,0.02,N,O,1997-05-28,1997-08-03,1997-06-14,DELIVER IN PERSON,FOB,ntain carefully slyly iro
2400516,187465,7466,1,41.00,63650.86,0.01,0.06,R,F,1993-02-02,1993-02-10,1993-02-04,DELIVER IN PERSON,MAIL,"ously bold theodolites. ironic, ev"
2400516,114822,2356,2,32.00,58778.24,0.10,0.04,A,F,1992-12-31,1993-01-29,1993-01-18,DELIVER IN PERSON,SHIP,ns. bravely daring ideas along the regular
2400516,13282,786,3,48.00,57373.44,0.06,0.07,R,F,1993-03-07,1993-01-31,1993-03-14,TAKE BACK RETURN,FOB,the requests. blithe
2400516,15294,5295,4,22.00,26604.38,0.03,0.06,A,F,1993-02-23,1993-03-02,1993-03-15,TAKE BACK RETURN,AIR,dependenci
2400516,42913,7922,5,19.00,35262.29,0.03,0.03,R,F,1993-02-05,1993-02-27,1993-03-03,NONE,FOB,ar package
2400516,26168,8671,6,21.00,22977.36,0.10,0.01,A,F,1993-03-30,1993-02-04,1993-04-04,NONE,TRUCK,packages cajole fluffily according t
2400517,33797,8804,1,36.00,62308.44,0.07,0.01,A,F,1992-10-11,1992-10-31,1992-10-28,DELIVER IN PERSON,FOB, furiously close requests. f
2400518,199289,6847,1,30.00,41648.40,0.08,0.00,A,F,1993-03-03,1993-03-09,1993-03-26,COLLECT COD,TRUCK,ronic foxes 
2400518,46456,3969,2,13.00,18231.85,0.02,0.02,A,F,1993-04-21,1993-03-11,1993-04-22,NONE,AIR, even packages. fluffily regula
2400518,185275,312,3,47.00,63932.69,0.00,0.06,R,F,1993-02-12,1993-02-07,1993-03-09,DELIVER IN PERSON,SHIP,"ate slyly regular instructions. final, "
2400518,104867,9888,4,16.00,29949.76,0.00,0.04,R,F,1993-02-04,1993-03-20,1993-02-10,NONE,RAIL,arls are furiously quickly ironic depo
2400518,98478,6006,5,24.00,35435.28,0.01,0.01,R,F,1993-04-05,1993-03-21,1993-04-18,DELIVER IN PERSON,AIR,aintain blithely among 
2400518,115523,5524,6,1.00,1538.52,0.07,0.04,R,F,1993-04-28,1993-04-06,1993-05-01,NONE,TRUCK,permanent requests detect 
2400519,172373,7408,1,8.00,11562.96,0.02,0.05,R,F,1995-03-29,1995-03-16,1995-04-24,TAKE BACK RETURN,REG AIR,rts. silent dolphins are
2400544,156649,1680,1,24.00,40935.36,0.08,0.02,N,O,1996-11-15,1996-09-30,1996-12-06,NONE,RAIL,its detect sly
2400544,188716,8717,2,15.00,27070.65,0.06,0.04,N,O,1996-08-18,1996-09-20,1996-09-05,DELIVER IN PERSON,REG AIR,uickly deposits. ruthless theodolites dou
2400544,141372,1373,3,28.00,39574.36,0.04,0.05,N,O,1996-09-30,1996-08-18,1996-10-10,COLLECT COD,RAIL,ests haggle quickly across the 
2400544,23195,8200,4,8.00,8945.52,0.04,0.02,N,O,1996-10-21,1996-08-25,1996-11-06,COLLECT COD,REG AIR,s. ironic requests caj
2400544,35337,344,5,8.00,10178.64,0.04,0.08,N,O,1996-09-25,1996-09-27,1996-10-15,COLLECT COD,RAIL,cuses boost enticingly regular asym
2400544,96462,1481,6,46.00,67089.16,0.01,0.02,N,O,1996-11-06,1996-09-05,1996-12-04,DELIVER IN PERSON,REG AIR,ges above the furiously iron
2400545,53303,8314,1,34.00,42714.20,0.07,0.06,N,O,1997-05-20,1997-06-21,1997-06-09,DELIVER IN PERSON,REG AIR,as. fluffily
2400545,54604,9615,2,36.00,56109.60,0.08,0.00,N,O,1997-05-17,1997-07-04,1997-06-04,DELIVER IN PERSON,FOB,sts along the excuses sn
2400545,118551,6085,3,49.00,76907.95,0.07,0.07,N,O,1997-06-22,1997-06-16,1997-07-12,NONE,REG AIR,. accounts boost furiously slyly
2400545,77183,7184,4,27.00,31324.86,0.08,0.03,N,O,1997-05-09,1997-07-04,1997-05-21,NONE,RAIL, slyly regular ideas haggle according 
2400546,173501,3502,1,21.00,33064.50,0.08,0.06,N,O,1996-01-04,1995-12-22,1996-01-16,NONE,RAIL,n requests haggle carefully acros
2400546,27109,4616,2,13.00,13469.30,0.09,0.00,N,O,1995-12-24,1995-11-18,1996-01-19,NONE,AIR,"he pending, regular pinto beans. slyly unu"
2400547,75018,2540,1,29.00,28797.29,0.00,0.08,N,O,1998-07-16,1998-06-26,1998-08-12,COLLECT COD,MAIL,packages haggle carefully. care
2400547,14948,4949,2,38.00,70791.72,0.00,0.03,N,O,1998-08-21,1998-07-08,1998-09-18,NONE,REG AIR,eposits? fluffily silent court
2400547,17918,7919,3,20.00,36718.20,0.10,0.05,N,O,1998-06-28,1998-07-26,1998-07-06,TAKE BACK RETURN,FOB,nts. enticing accounts eat sile
2400547,144284,6799,4,20.00,26565.60,0.04,0.04,N,O,1998-07-21,1998-08-10,1998-08-17,NONE,REG AIR,the quickly 
2400547,179297,1815,5,41.00,56427.89,0.05,0.00,N,O,1998-07-12,1998-08-09,1998-08-10,NONE,MAIL,ets about the careful
2400547,30909,910,6,30.00,55197.00,0.10,0.07,N,O,1998-08-23,1998-06-26,1998-08-25,NONE,RAIL, are blithely since the sly
2400548,84244,4245,1,10.00,12282.40,0.05,0.06,R,F,1992-06-03,1992-04-01,1992-06-14,COLLECT COD,TRUCK,ly final deposits nag above th
2400548,73627,1149,2,1.00,1600.62,0.09,0.08,R,F,1992-04-09,1992-04-16,1992-05-01,NONE,SHIP, ironic dependencies. blithely unus
2400548,41613,6622,3,23.00,35756.03,0.03,0.08,R,F,1992-02-23,1992-05-07,1992-03-20,NONE,TRUCK,"oxes. ironic, reg"
2400548,186696,6697,4,33.00,58828.77,0.05,0.00,R,F,1992-03-13,1992-03-19,1992-03-27,DELIVER IN PERSON,SHIP,entiments cajole
2400549,159401,4432,1,33.00,48193.20,0.10,0.03,N,O,1998-07-20,1998-07-09,1998-07-24,DELIVER IN PERSON,TRUCK,"onic sentiments. final, unusual instruction"
2400549,43588,1101,2,42.00,64326.36,0.01,0.08,N,O,1998-06-03,1998-06-05,1998-06-22,DELIVER IN PERSON,REG AIR,s cajole furi
2400550,126202,6203,1,14.00,17194.80,0.00,0.03,R,F,1993-03-30,1993-04-12,1993-04-01,NONE,AIR, regular theodolites poach furiously be
2400550,69892,2399,2,23.00,42823.47,0.07,0.01,R,F,1993-02-27,1993-03-19,1993-03-08,TAKE BACK RETURN,AIR,ickly pending requests-- warthogs s
2400551,96408,6409,1,19.00,26683.60,0.03,0.01,N,O,1995-10-29,1996-01-07,1995-11-23,NONE,REG AIR,ve to sleep after the braids: furiously p
2400551,125773,5774,2,28.00,50365.56,0.02,0.01,N,O,1996-01-30,1996-01-15,1996-02-24,DELIVER IN PERSON,TRUCK,"ainst the final, ironi"
2400551,66018,1031,3,5.00,4920.05,0.06,0.05,N,O,1995-12-28,1996-01-15,1996-01-10,COLLECT COD,TRUCK,gular platelets. dependencies are slyly
2400551,163210,5727,4,27.00,34376.67,0.08,0.03,N,O,1995-10-26,1996-01-15,1995-11-06,DELIVER IN PERSON,MAIL,ully ironic id
2400551,62821,5328,5,49.00,87407.18,0.04,0.01,N,O,1995-10-22,1995-11-29,1995-11-17,COLLECT COD,FOB,eodolites wake furiously. qu
2400551,20722,5727,6,6.00,9856.32,0.07,0.07,N,O,1995-12-17,1995-12-25,1995-12-18,NONE,RAIL,ackages. slyly even accounts nag bu
2400576,125218,7731,1,7.00,8702.47,0.10,0.06,N,O,1996-01-27,1995-12-01,1996-01-29,NONE,SHIP,xes haggle blithely always regular reque
2400576,124287,1824,2,43.00,56385.04,0.02,0.01,N,O,1995-11-05,1996-01-22,1995-11-12,NONE,TRUCK, foxes. quickly ironic requests use. ironic
2400576,86528,4053,3,9.00,13630.68,0.04,0.03,N,O,1995-11-19,1995-12-30,1995-12-16,DELIVER IN PERSON,AIR,ake after the express notornis.
2400576,73569,8584,4,26.00,40106.56,0.04,0.01,N,O,1995-10-30,1996-01-04,1995-11-17,NONE,SHIP,ckages. bold foxes
2400576,57765,7766,5,16.00,27564.16,0.04,0.00,N,O,1995-12-17,1995-12-03,1996-01-07,DELIVER IN PERSON,SHIP,regular deposits use furiou
2400576,50271,5282,6,32.00,39080.64,0.00,0.03,N,O,1995-12-28,1995-12-19,1996-01-07,DELIVER IN PERSON,AIR,d packages. quickly bold patterns inte
2400577,7165,9666,1,13.00,13938.08,0.00,0.05,A,F,1993-03-19,1993-03-19,1993-03-26,NONE,TRUCK, packages. slyly regul
2400578,165676,8193,1,15.00,26125.05,0.08,0.06,R,F,1994-11-08,1994-10-12,1994-12-02,COLLECT COD,FOB,ts. slyly regular
2400578,115641,3175,2,45.00,74548.80,0.05,0.07,R,F,1994-10-29,1994-10-24,1994-11-03,NONE,SHIP,ar deposits sleep. ironi
2400578,171121,1122,3,43.00,51261.16,0.04,0.00,A,F,1994-09-06,1994-09-06,1994-09-21,NONE,REG AIR," the close, final pinto beans are agains"
2400579,21345,1346,1,35.00,44321.90,0.06,0.08,A,F,1994-11-21,1994-09-27,1994-12-13,COLLECT COD,MAIL,carefully slyly ironic deco
2400579,140585,8128,2,25.00,40639.50,0.08,0.01,R,F,1994-11-23,1994-09-22,1994-12-16,TAKE BACK RETURN,MAIL, final ideas. asymptotes sleep carefully. 
2400579,198835,3874,3,46.00,88956.18,0.03,0.00,A,F,1994-11-21,1994-10-18,1994-12-03,DELIVER IN PERSON,SHIP,tructions. quickly express pinto be
2400579,14416,1920,4,7.00,9312.87,0.02,0.00,A,F,1994-10-04,1994-08-31,1994-10-20,NONE,TRUCK,even packages. closely even ideas ha
2400580,88616,1125,1,23.00,36906.03,0.08,0.05,R,F,1992-09-29,1992-09-19,1992-10-21,NONE,RAIL,ng pinto beans wake fluffily b
2400580,164912,9945,2,25.00,49422.75,0.01,0.06,R,F,1992-11-19,1992-10-18,1992-12-19,COLLECT COD,MAIL, the blithely ironic 
2400580,73979,3980,3,15.00,29294.55,0.08,0.05,R,F,1992-09-03,1992-09-29,1992-09-16,TAKE BACK RETURN,MAIL, packages. quickly final instructions
2400580,163888,1437,4,24.00,46845.12,0.03,0.03,R,F,1992-09-03,1992-09-28,1992-09-21,COLLECT COD,REG AIR,along the furiously express pin
2400580,56978,9484,5,46.00,89008.62,0.10,0.01,A,F,1992-12-03,1992-10-26,1992-12-15,COLLECT COD,MAIL,ole silent accounts. quickly ironic req
2400580,24655,4656,6,3.00,4738.95,0.10,0.00,R,F,1992-09-07,1992-10-26,1992-09-30,TAKE BACK RETURN,RAIL,packages. slyly exp
2400581,192021,4541,1,35.00,38955.70,0.07,0.02,R,F,1992-09-25,1992-09-13,1992-10-06,NONE,AIR,ng the pending pains are fu
2400582,56315,8821,1,5.00,6356.55,0.02,0.08,N,O,1996-07-09,1996-06-14,1996-08-02,TAKE BACK RETURN,AIR,areful requests. accounts wake 
2400582,85135,2660,2,21.00,23522.73,0.04,0.00,N,O,1996-07-31,1996-06-08,1996-08-28,NONE,REG AIR,silent accounts integrate furiously. fur
2400582,55591,602,3,23.00,35571.57,0.05,0.05,N,O,1996-08-16,1996-06-13,1996-08-17,TAKE BACK RETURN,MAIL,ly fluffily unus
2400582,108691,6222,4,25.00,42492.25,0.02,0.04,N,O,1996-05-01,1996-07-16,1996-05-27,NONE,MAIL,thely ironic 
2400582,165736,3285,5,4.00,7206.92,0.10,0.04,N,O,1996-06-01,1996-07-04,1996-06-25,DELIVER IN PERSON,MAIL,. asymptotes nod furio
2400582,120619,3132,6,13.00,21314.93,0.06,0.08,N,O,1996-08-10,1996-06-08,1996-08-31,NONE,FOB, bold deposits. accounts sleep against 
2400583,105560,8071,1,43.00,67319.08,0.04,0.03,N,O,1995-07-02,1995-05-28,1995-07-14,COLLECT COD,SHIP,nal accounts are against the bold
2400583,138908,8909,2,22.00,42831.80,0.03,0.05,N,O,1995-06-20,1995-05-31,1995-07-03,DELIVER IN PERSON,REG AIR,e instructions? f
2400583,19036,9037,3,16.00,15280.48,0.02,0.03,N,O,1995-07-24,1995-06-28,1995-08-13,DELIVER IN PERSON,SHIP,packages sl
2400608,181429,6466,1,6.00,9062.52,0.02,0.02,R,F,1993-07-03,1993-05-28,1993-07-11,DELIVER IN PERSON,FOB,xes. carefully thin pinto b
2400608,75380,395,2,13.00,17619.94,0.08,0.07,A,F,1993-06-18,1993-06-12,1993-07-10,TAKE BACK RETURN,SHIP, sleep slyly. blithel
2400608,103627,3628,3,29.00,47287.98,0.10,0.06,A,F,1993-06-14,1993-05-06,1993-07-03,TAKE BACK RETURN,MAIL, regular pinto beans. express deposit
2400608,44652,4653,4,8.00,12773.20,0.02,0.00,A,F,1993-03-23,1993-06-04,1993-04-13,DELIVER IN PERSON,TRUCK,to the car
2400608,65671,3190,5,30.00,49100.10,0.09,0.00,A,F,1993-07-01,1993-05-23,1993-07-20,COLLECT COD,SHIP,lithely. busily f
2400609,119378,4401,1,6.00,8384.22,0.06,0.01,A,F,1992-11-27,1992-10-08,1992-12-14,DELIVER IN PERSON,REG AIR,ly bold ideas. slyly r
2400609,174911,4912,2,20.00,39718.20,0.02,0.02,R,F,1992-12-12,1992-12-02,1992-12-22,COLLECT COD,REG AIR,its integrate fu
2400609,121636,9173,3,4.00,6630.52,0.00,0.05,A,F,1992-11-21,1992-10-22,1992-12-05,NONE,AIR,regular foxes boost quickly regu
2400610,12008,9512,1,42.00,38640.00,0.03,0.04,A,F,1993-08-04,1993-07-16,1993-08-29,COLLECT COD,SHIP, slyly regular theodol
2400611,78278,8279,1,42.00,52763.34,0.04,0.07,R,F,1995-02-04,1994-12-15,1995-02-16,COLLECT COD,FOB,y express accounts. fluffily final a
2400611,6254,6255,2,10.00,11602.50,0.08,0.02,A,F,1994-11-27,1994-11-12,1994-12-21,NONE,AIR,totes. carefully slow requests are about t
2400611,99573,9574,3,5.00,7862.85,0.06,0.07,A,F,1994-11-18,1994-11-30,1994-12-07,DELIVER IN PERSON,FOB,arefully ironic
2400611,113500,6012,4,39.00,59026.50,0.05,0.00,R,F,1994-10-26,1994-12-26,1994-11-20,DELIVER IN PERSON,SHIP,", regular packages h"
2400611,191494,4014,5,16.00,25367.84,0.09,0.03,R,F,1994-10-24,1994-12-07,1994-11-23,DELIVER IN PERSON,SHIP,ajole furiously ironic requests. bol
2400611,33298,5802,6,10.00,12312.90,0.00,0.08,A,F,1994-11-30,1995-01-05,1994-12-29,TAKE BACK RETURN,TRUCK,e slyly regular instructions. escapades
2400612,199661,4700,1,44.00,77469.04,0.00,0.00,A,F,1995-03-21,1995-04-13,1995-03-26,COLLECT COD,MAIL, accounts. slyly special sauternes detec
2400612,100724,5745,2,38.00,65539.36,0.02,0.08,R,F,1995-05-20,1995-03-03,1995-05-30,NONE,MAIL,closely inside the regular deposits--
2400612,62223,2224,3,1.00,1185.22,0.09,0.04,R,F,1995-02-06,1995-04-04,1995-02-24,COLLECT COD,RAIL, unusual dolphins! slyly blithe instructi
2400612,172540,7575,4,23.00,37088.42,0.10,0.07,R,F,1995-05-05,1995-04-01,1995-05-15,NONE,MAIL,y regular dependencies ca
2400612,77642,2657,5,33.00,53448.12,0.08,0.00,A,F,1995-04-30,1995-04-16,1995-05-01,COLLECT COD,REG AIR,its boost quickly ironic packages. bl
2400613,23622,6125,1,28.00,43277.36,0.02,0.03,N,O,1995-08-13,1995-09-09,1995-08-19,COLLECT COD,TRUCK,nstructions. regular id
2400614,84362,6871,1,15.00,20195.40,0.03,0.08,N,O,1996-11-29,1996-11-21,1996-12-09,NONE,SHIP,"n foxes: regular, express packages w"
2400614,56821,9327,2,7.00,12444.74,0.05,0.06,N,O,1996-12-06,1996-11-05,1997-01-01,NONE,RAIL, cajole. furiousl
2400614,185591,8110,3,36.00,60357.24,0.06,0.05,N,O,1997-01-14,1996-11-20,1997-01-30,COLLECT COD,SHIP," integrate carefully final, regular accou"
2400615,18105,5609,1,17.00,17392.70,0.05,0.01,A,F,1994-08-01,1994-07-20,1994-08-23,DELIVER IN PERSON,RAIL,e slyly instructions. deposits m
2400615,83978,8995,2,2.00,3923.94,0.07,0.02,R,F,1994-10-15,1994-07-22,1994-11-03,TAKE BACK RETURN,REG AIR,ole furiously
2400615,9613,2114,3,8.00,12180.88,0.07,0.06,R,F,1994-07-26,1994-08-07,1994-08-19,DELIVER IN PERSON,MAIL,deas alongside of the special
2400615,160167,5200,4,18.00,22088.88,0.09,0.06,A,F,1994-08-04,1994-08-30,1994-08-13,TAKE BACK RETURN,SHIP,onic accounts. blith
2400615,116296,8808,5,1.00,1312.29,0.06,0.03,A,F,1994-10-01,1994-09-04,1994-10-10,TAKE BACK RETURN,TRUCK,ages among the pendi
2400640,64438,6945,1,37.00,51889.91,0.02,0.02,R,F,1995-05-04,1995-06-12,1995-05-26,DELIVER IN PERSON,RAIL,l requests: unusual
2400640,194751,7271,2,43.00,79367.25,0.01,0.05,N,F,1995-05-25,1995-06-28,1995-06-20,TAKE BACK RETURN,AIR,. dependencies cajole. carefully regular pi
2400640,171743,6778,3,40.00,72589.60,0.07,0.07,R,F,1995-05-18,1995-06-20,1995-06-11,COLLECT COD,MAIL,g pinto beans. slyly final fo
2400641,24850,9855,1,42.00,74543.70,0.06,0.05,N,O,1996-10-10,1996-08-12,1996-11-02,DELIVER IN PERSON,MAIL,ully. silent accou
2400641,44313,6818,2,18.00,22631.58,0.05,0.02,N,O,1996-08-17,1996-09-29,1996-09-03,COLLECT COD,TRUCK,carefully final foxe
2400641,158342,5888,3,31.00,43410.54,0.03,0.01,N,O,1996-08-02,1996-08-20,1996-08-04,COLLECT COD,AIR,es solve along the ironic accounts
2400641,40538,5547,4,31.00,45834.43,0.03,0.07,N,O,1996-11-01,1996-08-09,1996-11-06,DELIVER IN PERSON,AIR, according to the silent pinto b
2400641,106709,6710,5,10.00,17157.00,0.05,0.05,N,O,1996-09-22,1996-08-27,1996-10-12,COLLECT COD,TRUCK,"nal, silent accoun"
2400641,46034,8539,6,34.00,33321.02,0.04,0.04,N,O,1996-07-25,1996-08-09,1996-08-03,DELIVER IN PERSON,MAIL, cajole furiously around the permanentl
2400641,76739,1754,7,44.00,75492.12,0.05,0.07,N,O,1996-08-07,1996-09-05,1996-08-12,NONE,RAIL, orbits use:
2400642,136345,1372,1,46.00,63541.64,0.05,0.00,A,F,1994-12-14,1994-10-25,1994-12-28,COLLECT COD,RAIL, deposits sleep fina
2400642,145314,343,2,37.00,50294.47,0.04,0.01,R,F,1994-11-04,1994-10-16,1994-11-20,TAKE BACK RETURN,FOB,ites haggle carefull
2400642,81970,9495,3,2.00,3903.94,0.01,0.02,A,F,1994-08-30,1994-10-18,1994-09-13,NONE,FOB,le carefully carefu
2400642,61694,1695,4,50.00,82784.50,0.09,0.04,R,F,1994-11-06,1994-11-09,1994-11-16,DELIVER IN PERSON,REG AIR,inal accounts affix beneat
2400642,78823,3838,5,24.00,43243.68,0.06,0.05,A,F,1994-12-11,1994-11-15,1994-12-18,DELIVER IN PERSON,REG AIR,fily unusual packages haggl
2400642,176412,3964,6,4.00,5953.64,0.02,0.00,A,F,1994-10-05,1994-09-25,1994-10-22,DELIVER IN PERSON,FOB,ly blithely even
2400642,152248,7279,7,9.00,11702.16,0.01,0.07,A,F,1994-11-18,1994-09-22,1994-11-20,COLLECT COD,MAIL,ide the slyly bold requests could h
2400643,20637,8144,1,11.00,17133.93,0.01,0.03,A,F,1993-04-12,1993-06-19,1993-04-22,TAKE BACK RETURN,TRUCK,olites across the requests are blithe
2400643,42799,312,2,38.00,66188.02,0.10,0.00,R,F,1993-06-24,1993-05-14,1993-06-25,NONE,AIR,s. slowly special accounts are
2400643,111927,9461,3,12.00,23267.04,0.10,0.00,A,F,1993-06-24,1993-06-07,1993-07-02,NONE,TRUCK,"y even, final instructio"
2400643,153840,6356,4,23.00,43558.32,0.08,0.02,A,F,1993-05-04,1993-05-16,1993-06-01,DELIVER IN PERSON,SHIP,even dependencie
2400643,185889,5890,5,50.00,98744.00,0.00,0.06,R,F,1993-06-08,1993-06-10,1993-06-12,TAKE BACK RETURN,MAIL,ins sleep reg
2400644,25653,3160,1,14.00,22101.10,0.02,0.06,N,O,1998-04-12,1998-04-16,1998-04-16,COLLECT COD,TRUCK, always above the regul
2400644,138537,8538,2,46.00,72474.38,0.09,0.02,N,O,1998-03-27,1998-04-12,1998-04-21,DELIVER IN PERSON,MAIL,ily ironic ideas serve. fluffily reg
2400644,186351,1388,3,13.00,18685.55,0.05,0.08,N,O,1998-02-15,1998-03-09,1998-03-07,DELIVER IN PERSON,SHIP,t across the quickly
2400644,185945,982,4,40.00,81237.60,0.09,0.07,N,O,1998-02-20,1998-03-20,1998-03-16,COLLECT COD,MAIL,uickly final accounts. quickl
2400644,172441,9993,5,22.00,33295.68,0.07,0.06,N,O,1998-05-29,1998-03-13,1998-06-01,TAKE BACK RETURN,MAIL,"arefully regular, unusual deposits"
2400644,10226,7730,6,36.00,40903.92,0.05,0.03,N,O,1998-04-14,1998-04-27,1998-04-24,DELIVER IN PERSON,MAIL,ng to the blithely ironi
2400645,54213,4214,1,36.00,42019.56,0.03,0.02,N,O,1996-12-06,1996-12-15,1996-12-08,TAKE BACK RETURN,SHIP,he furiously final foxes sublate furi
2400645,154365,6881,2,20.00,28387.20,0.02,0.06,N,O,1996-12-05,1997-02-09,1996-12-07,COLLECT COD,FOB, furiously even foxes haggle after th
2400645,9054,9055,3,34.00,32743.70,0.08,0.07,N,O,1997-02-26,1996-12-28,1997-03-18,TAKE BACK RETURN,SHIP, fluffily quic
